x,y,z,Type,State,extra
2,29,11,1,7,0|16695|47592382|9
57,2,1,1,7,0|507|47522495|9
81,35,10,1,7,0|11681|47406115|9
88,38,14,1,7,0|7169|47508653|9
35,7,12,1,7,0|13924|47488450|9
76,5,18,1,7,0|3479|47557897|9
71,52,10,1,7,0|2581|47399341|9
6,34,13,1,7,0|1534|47333665|9
33,16,16,1,7,0|25045|47474549|9
60,6,11,1,7,0|30283|47421624|9
42,11,13,1,7,0|812|47384519|9
40,38,3,1,7,0|5903|47421460|9
75,69,16,1,7,0|5574|47584313|9
67,34,14,1,7,0|15213|47502955|9
61,34,15,1,7,0|13910|47505550|9
67,47,5,1,7,0|9190|47480931|9
57,29,12,1,7,0|56443|47480931|9
22,33,4,1,7,0|22214|47427242|9
3,42,2,1,7,0|3048|47330468|9
51,15,16,1,7,0|8575|47426123|9
17,37,15,1,7,0|1652|31493890|9
0,57,7,1,7,0|36001|47446797|9
68,30,3,1,7,0|22130|47394758|9
21,4,6,1,7,0|16083|47494892|9
27,49,18,1,7,0|1748|47536557|9
1,79,6,1,7,0|18668|47469710|9
98,30,17,1,7,0|447|47622431|9
37,36,4,1,7,0|12603|47445756|9
15,38,16,1,7,0|6477|47376645|9
25,42,11,1,7,0|10758|47403869|9
9,73,12,1,7,0|4935|47410278|9
11,32,9,1,7,0|14399|47530258|9
40,14,5,1,7,0|539|47415631|9
14,74,1,1,7,0|44858|47549244|9
47,46,6,1,7,0|4372|47382518|9
2,79,14,1,7,0|13930|47451716|9
30,75,8,1,7,0|1620|47403791|9
43,27,1,1,7,0|35797|47506895|9
75,3,5,1,7,0|11494|47453726|9
34,53,15,1,7,0|25226|47527764|9
74,8,1,1,6,0|74692|25|0
67,27,4,1,7,0|14396|47540164|9
55,41,3,1,7,0|3714|47616056|9
33,118,18,1,7,0|7998|47591003|9
92,6,5,1,6,0|38614|24|0
50,101,15,1,7,0|811|47448508|9
63,69,4,1,7,0|54097|47556006|9
120,79,0,1,7,0|7067|47515770|9
22,70,7,1,7,0|14036|47428486|9
33,17,11,1,7,0|15414|47421964|9
94,84,10,1,7,0|11769|47584313|9
36,60,10,1,7,0|6492|47593061|9
80,10,13,1,7,0|8622|47362055|9
8,46,9,1,7,0|1109|47586994|9
15,187,16,2,5,0
68,42,3,1,7,0|19109|47576209|9
7,8,17,1,7,0|871|31387388|9
2,59,19,1,6,0|20553|19|0
165,35,5,1,7,0|4685|47510980|9
110,57,5,1,7,0|19329|47517284|9
30,33,1,1,7,0|773|47339310|9
16,48,14,1,7,0|1466|47412442|9
12,30,4,1,7,0|6696|47350951|9
47,1,15,1,7,0|7169|47435087|9
66,8,7,1,7,0|1743|47385904|9
64,48,11,1,7,0|17880|47595792|9
121,64,19,1,7,0|17717|47560111|9
85,28,11,1,7,0|15894|47425057|9
16,33,9,1,6,0|9123|27|0
50,29,8,1,7,0|15870|47581275|9
