x,y,z,Type,State,extra
76,75,79,1,7,0|9|0|9
67,83,85,1,7,0|9|0|7
57,80,76,1,7,0|9|14|8
65,70,80,1,7,0|9|0|10
78,77,66,1,7,0|9|28|5
71,67,68,1,7,0|65|50|13
63,75,76,1,7,0|9|0|11
60,52,74,1,7,0|9|20|14
68,81,79,1,7,0|9|0|10
53,77,78,1,7,0|9|57|9
49,61,71,1,7,0|9|0|13
59,59,77,1,7,0|65|22|17
45,65,77,1,7,0|9|30|10
59,83,76,1,7,0|9|44|7
74,68,80,1,7,0|9|52|5
77,84,75,1,7,0|9|0|6
59,63,79,1,7,0|9|0|9
58,74,76,1,7,0|9|0|10
79,67,78,1,7,0|9|49|5
57,60,68,1,7,0|9|48|10
68,88,74,1,7,0|9|30|5
75,73,73,1,7,0|9|0|7
58,71,74,1,7,0|9|0|10
54,60,69,1,7,0|9|0|11
56,63,76,1,7,0|9|9|10
78,85,80,1,7,0|9|9|5
65,70,90,1,7,0|9|5|7
61,67,84,1,7,0|9|25|11
61,72,82,1,7,0|9|0|10
79,69,81,1,7,0|9|47|5
47,62,74,1,7,0|9|14|13
78,74,90,1,7,0|9|65|5
49,60,74,1,7,0|9|0|14
79,78,85,1,7,0|9|2|6
47,71,74,1,7,0|9|29|10
77,81,88,1,7,0|9|50|5
61,82,87,1,7,0|9|25|7
43,61,70,1,7,0|116|37|14
63,69,81,1,7,0|9|0|10
58,79,82,1,7,0|9|2|7
58,66,70,1,7,0|9|21|9
66,75,87,1,7,0|9|0|9
52,64,73,1,7,0|9|0|12
83,77,74,1,7,0|9|27|5
50,70,71,1,7,0|379|0|14
54,70,77,1,7,0|9|0|11
63,81,73,1,7,0|9|0|8
77,75,72,1,7,0|9|0|8
63,78,80,1,7,0|9|0|11
74,64,83,1,7,0|9|52|6
47,65,69,1,7,0|9|0|11
62,68,86,1,7,0|9|0|12
69,83,83,1,7,0|9|0|7
73,73,82,1,7,0|9|0|10
78,83,75,1,7,0|9|0|6
67,70,88,1,7,0|9|0|7
81,75,85,1,7,0|9|49|5
75,84,84,1,7,0|9|16|6
69,84,84,1,7,0|9|0|6
78,73,83,1,7,0|9|0|8
56,75,71,1,7,0|9|50|8
58,67,81,1,7,0|9|0|12
48,72,66,1,7,0|116|42|12
67,65,83,1,7,0|9|24|7
64,85,81,1,7,0|9|16|6
68,84,80,1,7,0|9|0|7
54,55,67,1,7,0|9|55|11
64,73,81,1,7,0|9|0|11
46,60,69,1,7,0|379|47|12
69,74,78,1,7,0|9|0|11
71,73,91,1,7,0|9|54|6
59,64,72,1,7,0|9|20|9
76,72,75,1,7,0|9|0|7
78,77,80,1,7,0|9|0|8
64,77,72,1,7,0|9|0|8
48,74,71,1,7,0|116|62|12
60,81,72,1,7,0|9|13|8
52,68,69,1,7,0|9|0|12
60,78,74,1,7,0|9|13|8
68,83,75,1,7,0|9|14|5
71,68,75,1,7,0|9|6|7
50,71,72,1,7,0|116|40|12
78,82,74,1,7,0|9|0|6
30,92,77,1,6,0|379|18|0
47,63,67,1,7,0|9|45|12
58,69,75,1,7,0|9|0|11
65,79,75,1,7,0|9|0|8
47,63,68,1,7,0|9|0|11
55,77,85,1,7,0|9|36|6
68,87,78,1,7,0|9|15|6
56,56,73,1,7,0|9|0|12
74,80,74,1,7,0|9|0|9
60,83,85,1,7,0|9|22|7
78,81,90,1,7,0|9|47|5
75,83,83,1,7,0|9|0|7
53,71,66,1,7,0|379|60|12
73,87,71,1,7,0|9|29|5
52,61,68,1,7,0|9|19|11
51,65,68,1,7,0|9|0|11
43,56,71,1,7,0|9|47|15
72,67,87,1,7,0|9|56|6
75,74,93,1,7,0|9|50|5
67,79,71,1,7,0|9|0|9
73,80,90,1,7,0|9|64|5
76,72,87,1,7,0|9|0|6
83,80,82,1,7,0|9|46|5
57,82,78,1,7,0|9|42|7
62,83,86,1,7,0|9|23|7
50,56,67,1,7,0|9|55|11
62,66,74,1,7,0|9|28|9
71,71,92,1,7,0|9|6|7
84,75,81,1,7,0|9|49|5
53,67,71,1,7,0|9|0|13
55,76,79,1,7,0|9|0|10
48,61,69,1,7,0|9|0|13
45,63,70,1,7,0|379|41|12
57,57,78,1,7,0|9|67|10
84,76,75,1,7,0|9|10|5
79,72,87,1,7,0|9|46|5
50,75,66,1,7,0|116|21|12
70,68,72,1,7,0|9|60|6
53,54,77,1,7,0|9|52|11
70,69,74,1,7,0|9|35|5
70,70,85,1,7,0|9|0|9
67,78,73,1,7,0|9|0|10
46,64,76,1,7,0|9|27|10
68,84,76,1,7,0|9|0|7
79,73,87,1,7,0|9|55|5
68,84,84,1,7,0|9|38|6
45,58,72,1,7,0|9|3|14
48,55,69,1,7,0|9|4|12
63,76,76,1,7,0|9|0|11
74,65,87,1,7,0|9|55|6
75,72,89,1,7,0|9|47|5
69,88,84,1,7,0|9|26|5
58,71,73,1,7,0|9|0|10
67,73,72,1,7,0|9|0|6
68,83,87,1,7,0|9|66|5
50,59,67,1,7,0|9|11|13
74,82,84,1,7,0|9|0|7
66,58,80,1,7,0|9|55|16
60,65,80,1,7,0|9|0|12
70,68,75,1,7,0|9|17|8
61,72,85,1,7,0|9|0|8
64,65,77,1,7,0|9|9|10
71,82,82,1,7,0|9|0|9
40,66,65,1,7,0|9|11|13
52,72,72,1,7,0|379|13|16
48,59,75,1,7,0|9|0|13
68,71,74,1,7,0|9|0|15
46,64,73,1,7,0|9|66|10
80,72,73,1,7,0|9|22|5
73,75,83,1,7,0|9|0|10
68,64,71,1,7,0|65|49|13
72,79,87,1,7,0|9|0|7
74,79,75,1,7,0|9|0|10
55,66,79,1,7,0|9|0|10
59,68,84,1,7,0|9|0|11
61,67,87,1,7,0|9|30|10
72,68,88,1,7,0|9|53|6
61,74,70,1,7,0|9|35|8
45,75,80,1,7,0|379|7|15
54,63,80,1,7,0|9|9|10
61,67,85,1,7,0|9|16|11
61,71,84,1,7,0|9|0|12
76,71,90,1,7,0|9|46|5
48,61,72,1,7,0|9|0|13
47,59,69,1,7,0|9|19|11
83,79,74,1,7,0|9|6|5
60,80,75,1,7,0|9|15|8
75,73,84,1,7,0|9|0|8
46,64,68,1,7,0|9|0|11
67,81,69,1,7,0|9|28|5
55,67,67,1,7,0|9|6|12
51,59,65,1,7,0|9|45|12
43,64,68,1,7,0|9|47|15
79,82,70,1,7,0|9|27|5
